InvoiceNo,ExtractedText
139,[]
140,"['Under Sec 31 of CGST Act 2017 ORIGINAL For Receipient', 'Tel No : 0877-2265000 0 l 1 8 0) 5 4 3 2 2', 'CHITTOOR - 517420, AP CHITTOOR - 517420, AP', 'State Code : 37 State Code : 37', '1 AND WEIGHMENT ROOM 995413 1899032.00 | AU 1 1,899,032 |SGST |9% 170,913 2,240,858', '1 AND WEIGHMENT ROOM 995413 1899032.00 | AU 1 1,899,032 |SGST |9% 170,913 2,240,858', '1 AND WEIGHMENT ROOM 995413 1899032.00 | AU 1 1,899,032 |SGST |9% 170,913 2,240,858', '1 AND WEIGHMENT ROOM 995413 1899032.00 | AU 1 1,899,032 |SGST |9% 170,913 2,240,858']"
141,"['he ga Door single leaf of size : 1100x2400mm with hardware set | 1.00 | Each | 40742.00 40,742 4.000 40,742.00 a a le 4 000 40,742.00', 'he ga Door single leaf of size : 1100x2400mm with hardware set | 1.00 | Each | 40742.00 40,742 4.000 40,742.00 a a le 4 000 40,742.00', 'Hinges BB 4330, 5 Knl, 2 Ball bearing butt hinges size 4"" x 3"" eee a i', '3mm SS 304 - (Dorma make - 3 No.s :', '3mm SS 304 - (Dorma make - 3 No.s :', '| __a__|For Control room 19.00 6175.00 1,17,325 13.200 81,510.00 Paidaidiinuuhuhen icity 13.200 81,510.00']"
142,"['For Weightment room 8.00 6175.00 | Ss 49,400| eS ee', 'For Weightment room 8.00 6175.00 | Ss 49,400| eS ee', 'preparation of surface, scaffolding etc., complete at all levels, 58.00 Sqm. 217.00 12,586 98.640 21,404.88 98.640 21,404.88', 'sarcied) 1 give an even Guface St., hOUcINg preperation Of 408.00. | ‘Gam. | 197.00 20,246| 124.880 23,852.08 124.880 23,852.08', 'sarcied) 1 give an even Guface St., hOUcINg preperation Of 408.00. | ‘Gam. | 197.00 20,246| 124.880 23,852.08 124.880 23,852.08', '| 10.01 [Water proofing with brick bat leveling course | 57.00 | =~ Sam | 1165.00 | 66,405] —33.eeo] 39,470.20] | 8880] 89,470.20]', 'chemical. (Coverage area : 27 kgs / 210Saft) 2 coats']"
143,"['water boving harcal 50759 Deg Corona ae ce 77', ""5. The surface is marked with 1'x 1' false square with the help of string to ates ks te eh ae ae ee aie Sty"", '11.00 [Architect charges 185,00 Sqm 350,00 64,750 100.000 35,000.00 Pusha sre Hes Ti Mt eet 100,000 35,000.00', '11.00 [Architect charges 185,00 Sqm 350,00 64,750 100.000 35,000.00 Pusha sre Hes Ti Mt eet 100,000 35,000.00', '1200x600x750 TOWNE Fccit| 19,775.00 2.000 | 39,550 pf 2.000] 39,550.00', '1200x600x750 TOWNE Fccit| 19,775.00 2.000 | 39,550 pf 2.000] 39,550.00', '1200x600x750 TOWNE Fccit| 19,775.00 2.000 | 39,550 pf 2.000] 39,550.00', 'File Storage Racks - 4000 x 550 x 900 mm be alae ame atl paren 1.000 45,548 Henan Hie 1.000 45,548.00', 'File Storage Racks - 4000 x 550 x 900 mm be alae ame atl paren 1.000 45,548 Henan Hie 1.000 45,548.00', 'Work station BOO Fn 11,216 ie 2.000 | 11,216.00']"
144,"['1 [earth Work Excavation —SSSSCSC~=~“—~—~*~*—*S*S*S*S*S*S*S*S~*dC wm | + | 200000 4200 | 1500 | veaB.000 |', '1 [earth Work Excavation —SSSSCSC~=~“—~—~*~*—*S*S*S*S*S*S*S*S~*dC wm | + | 200000 4200 | 1500 | veaB.000 |', '2 Sand Bed pe en ea ee ee ee ee 0.800 __ 41600 |Twowalis', 'ee Poco Bed Cum 2 0.800 | 0100 | 41.600 ‘| Two Walls', 'ee Poco Bed Cum 2 0.800 | 0100 | 41.600 ‘| Two Walls', '4 [RR Masonry [cum | 2 | 260.000 | 0.450 | 1200 | 200800 |TwoWwale']"
145,"['D>) Date: 26-11-2018', 'Weigh Bridge - 60Ton Cap. Least Count 10', '1 ( Model: ZM 305 J218A) Along with 1 2,172,500 2,172,500 1 2,172,500 1 2,172,500', '1 ( Model: ZM 305 J218A) Along with 1 2,172,500 2,172,500 1 2,172,500 1 2,172,500', '1 ( Model: ZM 305 J218A) Along with 1 2,172,500 2,172,500 1 2,172,500 1 2,172,500']"
146,['2. Billing <(>&<)> Freight amounts will be paid at actuals.']
147,"['4. Construction of Weigh Bridge,Control <(>&<)> Weighment room at', '5. Our bankers address: State bank Of Hyderabad, PMR complex, Opp to Corporation office, Tirupati-5 17507, Ph-0877-220153.']"
148,"['Service Order Date : 30/11/2018 Name : Amara Raja Batteries Serviced By : 1500SAL001', 'CSI-995413-001 Civil Service Item 2741559) 84252} 1899032.0/LS LS 1899032.00', 'CSI-995413-001 Civil Service Item 2741559) 84252} 1899032.0/LS LS 1899032.00', '<< End of Report >>', 'RunDateTime 12/1/2018 9:31:20 AM Page 1 of 1']"
149,"['e-mail ID: trkrao.er@gmail.com', 'Regd.no. 49/CCIT/III/XX/Reg.Val/76/01-03 - Income Tax Department', 'Eighteen Lakhs Ninety Nine Thousand and Thirty Two only.) Which includes materials']"
150,"['Ref: Work order: 2200011162 Date: 20.03.2018', 'With reference to the above said subject, we are here with submitting the RA Bill 04 for Rs 18,99,032 /-', '(Rupees Eighteen Lakhs Ninety-Nine Thousand and Thirty-Two Only). Kindly release the payment at the', 'Tel no. +91 877 2265000, Fax No. +91 877 2285600, E-mail: amararaja@amararaja.co.in.', 'Tel No. +91 40 23139000, Fax No. +91 40 23139001, E-mail: mktg(@amararaja.co.in']"
151,"['3.0 Electrical Works 7,91 ,426 -', 'SGST - 9% 7,48,393 4,11,614 LOSS 5.82 527']"
152,"['exceeding 150 mm thick of specified thickness, breaking clods, 242.00 Burn 358.00 86.636 75.520 27 036.09 75.520 27.036.09']"
153,"['Biflex Tc with 49 parts of water to get 0.05% emulsion and strictly in', 'of the proposed specialist firm). 30.00 Sqm 78.00 2,340', 'including base reparation, Compaction, leveling, all leads and lifts, 13.00 Cum 4279.00 55,627 2.160 9,242.64 2.160 9,242.64']"
154,"['pa —(iFooting, 857,00 | Cum | 7344.00 | 418,608] 45.862] 3,36,810.83 | 45.862 3,36,810.53', '/ 1) [Column upto FFL A 17.870| —SS—«9 8,886.69', 'ii) [Column From FFL to +8.0 m level 50.00 6,370.87 ae new 0.744| 6,370.87', 'ii) [Column From FFL to +8.0 m level 50.00 6,370.87 ae new 0.744| 6,370.87', 'e Weigh bridge floor slab at FRL level 10.00 6.663 | 57,703.03 fcc poe cna ica | 6.663|  —=s—s—«S 7,703.03', 'tap stab 24.00 8660.00 13877|__1,17.976.000 Pa iss77|  _1,17.878.00', 'Pi [Roofbemr 4.00 Cum | as7e.00 | 33.516] 1.478] 12,367.40 ee 1.476 12,367.40', 'a _|Grade ofreinforcedsteel-Fe500- TMTbars | = 26.00 | ~MT_ | 57276.00 | 14,89,176| 11.525] 660,131.89] 1.525 6,60, 131.89', 'high at about 600 mm c/c and 3 nos of 25 mm dia horizontal MS']"
155,"['minimum compressive strength of 5.5 N/Sq mm in cement 35.00 Cum 4079.00 1,42,765 2.136 8,712.74 2.136 8,712.74', 'mortar 1:5 in foundation and basements, etc. complete, all as', 'minimum compressive strength of 5.5 N/Sq mm in cement 13.00 Cum 4570.00 59,410 11.748 53,688.36 11.748 53,688.36', 'minimum compressive strength of 5.5 N/Sq mm in cement 18.00 Sqm 701.00 12,618 8.010 5,615.01 8.010 5,615.01', '6 Coarse sand : 12 Graded stone aggregate 20mm nominal size)', 'Zinc coating of 120 gm per Sqm at the junctions of masonry and} 58.00 sqm 215.00 12,470 71,280 15,325.20 71.280 15,325.20', 'in green condition with wire brush and clearing of loose particles] 106.00 Sqm 301.00 31,906 124,880 37,588.88 124.880 37,588.88']"
156,"['08 ee fe 2 5 @ | S|', '08 ee fe 2 5 @ | S|', ""olo 88 S N 0 | ' ‘"", ""3 é ' >"", 'L 3 oO ee', '3 |f] 3 : :', 'O G e 8 | 2', 'O 1312 |S 2', 'LL ee & - | 3 S 6', '< O > E -', '= -e=2 2 oH oO', '5 PSRs *. 8 ~<$oas 2 2 28 a', 'pate ""¢ 2 = * £e S25 nD oO S65DSbCg” QEgSO', 'O cS ae ee 2 > oa cw o nD Q = -o x =sU', '® SecRES TE 6 if a eo Ras 22 8S 20 =', '® SecRES TE 6 if a eo Ras 22 8S 20 =', '® SecRES TE 6 if a eo Ras 22 8S 20 =', '2 5s aoa z-ESfo eis 25 sglge* SESE 2285', '< oEeegee >8S08e S | ees oRes: oo ee oe', 'G23 o- 2 - of Oo 0 > 0 c Oo', '20 SESS 2ac§8 ® as CT eRSeE oefSF5 56', 'cexoos o ~Do eee cs © So5as BES Sa 55 ee a 3', '6 aoe zc © =a < ® 5 g_- o8 Seouvees', 'EG Se c olf S88 O Oo > 8358 <-.ce Oo 2 wa o o', 's ShER? 2 glge3a% 6 = >$ S56 ~Soaee a5', 'a RSESEES O52 e583 % 2 E . 8 Sg-32 gSPEEes S', '7 Sx 2 |O G ® 83 o 2 ic ooneeeas ge 5 re 28t', '7 Sx 2 |O G ® 83 o 2 ic ooneeeas ge 5 re 28t', '7 Sx 2 |O G ® 83 o 2 ic ooneeeas ge 5 re 28t', '& o 8 Bee SO sie 2sScgs SI — ~ ceges SSSE sess', 'a 9OogEe 6 a 10 R-28 2° © ae > 8 60300', 'a 9OogEe 6 a 10 R-28 2° © ae > 8 60300', '2 13 Se¢as rie fers cE Ra § £= e52 {8285 >E 8', 'j s oo 288535 Soeesesste: a - 5 5S Os | w', '{ £oa2 Sis 18 8 Fe} «6 neo aen ees 5', '8 Bale ole 886 8S eleshiedees 3', '8 Bale ole 886 8S eleshiedees 3', 'nin 2 ais e8iss2as &']"
157,"['3mm SS 304 - (Dorma make - 3 No.s s', '3mm SS 304 - (Dorma make - 3 No.s s', '3mm SS 304 - (Dorma make - 3 No.s s']"
158,[]
159,"['= P.JAVAVARMAN f ""Phone. 246569 |', 'ap ool 1 ee <r Date: 7]! 1 | |', 'ap ool 1 ee <r Date: 7]! 1 | |', '15) Jawetivds 2 he', 'Rupees in Words Selon hen Pusnmond 2. dive..| oda TRANSPORTS |']"
160,"['. cn 1 a oe sri serennennnenstlipeneninneroce——teamneteremesremntins ot ene Bel joevintiniinstindaiiihaiinmaammdipions Sy : aeons M3 ag Ie cc alpen z “ ; : a', 'Sy. No. 32, Chandapura, Hosur Road, Bangalore - 560099, INDIA State Code: 29 eae', 'Sy. No. 32, Chandapura, Hosur Road, Bangalore - 560099, INDIA State Code: 29 eae', '’ WORKS, KARAKAMBADI OFFICE & WORKS, KARAKAMBADI | CustomerPODate : 05/0/2018 © 7 od No of packages a ‘ae', ': State Code : 37 State ; Andhra Pradesh State Code : 37 term : : — cee -_', 'DOCK EVELER 4 BUTTON 84289090 1 | nos | 170,000.00, *170,000.0 J 0.00 0,000.00 0.00 0.00 0.00 0.00 18.00 | 30,600.00 00,600.00', 'DOCK EVELER 4 BUTTON 84289090 1 | nos | 170,000.00, *170,000.0 J 0.00 0,000.00 0.00 0.00 0.00 0.00 18.00 | 30,600.00 00,600.00', 'indred Only, — ce es ep BS cS sy ge 200,600', 'ce Address : Sy. 32,Chandapura,Hosur Road, Bangalore-560 099, INDIA. Phone:+91 80 4352 6565,Fax:+91 80 4352 6580, Email : | ho', 'ce Address : Sy. 32,Chandapura,Hosur Road, Bangalore-560 099, INDIA. Phone:+91 80 4352 6565,Fax:+91 80 4352 6580, Email : | ho', 'ce Address : Sy. 32,Chandapura,Hosur Road, Bangalore-560 099, INDIA. Phone:+91 80 4352 6565,Fax:+91 80 4352 6580, Email : | ho']"
161,"['282 | i DOCK LEVELER 4 BUTTON ’ 84289090 / 1 | nos | 170,000.00 170,000.00 0.00 170,000.00 0.00 0.00; 0.00 | 0.00 | 18.00; 30,600.00 | 200,60', '282 | i DOCK LEVELER 4 BUTTON ’ 84289090 / 1 | nos | 170,000.00 170,000.00 0.00 170,000.00 0.00 0.00; 0.00 | 0.00 | 18.00; 30,600.00 | 200,60', '282 | i DOCK LEVELER 4 BUTTON ’ 84289090 / 1 | nos | 170,000.00 170,000.00 0.00 170,000.00 0.00 0.00; 0.00 | 0.00 | 18.00; 30,600.00 | 200,60', '282 | i DOCK LEVELER 4 BUTTON ’ 84289090 / 1 | nos | 170,000.00 170,000.00 0.00 170,000.00 0.00 0.00; 0.00 | 0.00 | 18.00; 30,600.00 | 200,60', '282 | i DOCK LEVELER 4 BUTTON ’ 84289090 / 1 | nos | 170,000.00 170,000.00 0.00 170,000.00 0.00 0.00; 0.00 | 0.00 | 18.00; 30,600.00 | 200,60', '282 | i DOCK LEVELER 4 BUTTON ’ 84289090 / 1 | nos | 170,000.00 170,000.00 0.00 170,000.00 0.00 0.00; 0.00 | 0.00 | 18.00; 30,600.00 | 200,60', 'respondence Address : Sy. 32,Chandapura,Hosur Road,Bangalore-560 099, INDIA. Phone:+91 80 4352 6565,Fax:+91 80 4352 6580, Email : a', 'respondence Address : Sy. 32,Chandapura,Hosur Road,Bangalore-560 099, INDIA. Phone:+91 80 4352 6565,Fax:+91 80 4352 6580, Email : a', 'respondence Address : Sy. 32,Chandapura,Hosur Road,Bangalore-560 099, INDIA. Phone:+91 80 4352 6565,Fax:+91 80 4352 6580, Email : a']"
162,"['Tirupati - 517520 Tirupati - 517520', 'DOCK LEVELER 9 TONS 84289090']"
163,"['5. Our bankers address: State bank Of Hyderabad, PMR complex, Opp to Corporation office, Tirupati-5 17507, Ph-0877-220153.']"
164,"['i (Issued under Rule 7 & Section 31 of CGST Act, 2017) ORIGINAL FOR RECIPIENT -', 'i (Issued under Rule 7 & Section 31 of CGST Act, 2017) ORIGINAL FOR RECIPIENT -', 'Plot No. 70,71, Road No. 3, Phase |, 1.D.A., Cherlapally, ®', 'Tel : +91 40 2726 0555, Email :info@axiomevproducts.com - AXIOM |']"
165,"['Gurgaon-122002, Haryana 0 1 1 8 f) 5 5 5 1 5 Phase-il,', 'New delhi - 110003, india New delhi - 110003, India Customer PAN No', 'RTL-IR-ADV C3561 2,050.00} Ss 18 | C2050', '2. RTL-IR-ADV C356) - 20S0 X 1 = 2,050 X 12 = Rs.24,600/- for HO (per month price Rs. 2,050/-)', 'Registered Office - (w.e.f. 01.07.2016) Canon India Private Limited, Unit No 214 to 218, 2nd Floor, Narain Manizil, Barakhamioa } ie Connaught Place, New Delhi', 'Tel : 011-47192613 Fax : 01147192611 Website : www.canon.co,in CIN : U74889DL1996PTCO83770 ——']"
166,[]
167,['[1 [AMARARAJABATTERIESLTD-Deihi | —_60) 03-Nov-18)DLL-RENTALSALES [Invoice | 2200011895]Canon iR-ADV C356i_[2AMO0691 | __2050|Near Jorbagh market. New delhi | Nov-18[0.F181900011153 Open _']
168,['Date of requirement: [| >|] 6 |']
169,"['Rn Mi Ph :020-66245182 Mobile No: 9552271921 / ee To', 'L.R.NO : 02228 Date : 05-12-2018 12:27 AM TO PAY', '2022934052 9999999999 iPkgs: 100 ( TIN )', '[Invoice No. 02184 [Parcel Value : 0 a | any harged Wt: a', 'GSTN : 27AAACE9489L1ZW IGSTN : 37AABCA9264E1Z0_ a', '6. Luggage / Parcels should be collected within 24 hours ofits arrival failing which the management is not responsible for |', 'Delivery At : Chittor Delivery Branch Contact : 9652123632 Mobile No: 9652123632 he']"
170,['_ Amount Paid @Booking Rs. 0 Amount Paid @ Delivery Rs 12010. |']
171,"['Chittoor - 517416 Chittoor - 517416', '1 103-002-00220 KG 242 300.000 300.000  —«:15-DEC-2018 72,600.00', '2 103-002-00221 KG 242 400.000 400.000 15-DEC-2018 96,800.00', '3 103-002-00222 KG 270 300.000 300.000 15-DEC-2018 81,000.00', 'EPOXY HARDENER-EH 269 E 29214290']"
172,"['5. Our bankers address: State bank Of Hyderabad, PMR complex, Opp to Corporation office, Tirupati-5 17507, Ph-0877-220153.']"
173,"['AMARA RAJA 0118056537 Date . 12.12... &.', 'Ss () () 0) Pe rT 550.00', '2 270-015-90003 KG 55 100.000 100.000 0S-NOV-2018 5,500.00', 'In Words: FORTY SIX THOUSAND FOUR HUNDRED FIFTY ONE Rupees EIGHTY Paise']"
174,"['V-Trans (India) Ltd. ISO 9001 : 2015 CERTIFIED COMPANY eo - : ce” ISIPTT © 6 D |', '| en and aula ; as ‘ 3 : sensei Goods received in andes | 6 “ER 4 > eo 3', '| en and aula ; as ‘ 3 : sensei Goods received in andes | 6 “ER 4 > eo 3', 'CIRCE ORLA = «9©9©§©—- MAKE ALL PAYMENTS THROUGH CROSSED CHEQUE IN FAVOR OF V-TRANS ( INBSA LTD. _ :']"
175,"['Supplier Code; 110028 PO Number : 1100092192', 'Chittoor - 517416 Chittoor - 517416', '1 270-015-90004 KG 55 500.000 500.000 OS-NOV-2018 27,500.00', '2 270-015-90003 KG 55 100.000 100.000 0S-NOV-2018 5,500.00']"
176,"['ion a oe a 1S A NO TP/ DAC 1 DOD 0', ', PVT Mes 904 iGST 5% 319.0 |', 'a 211058721058 Date: 20 Nov 2018 | Tos o 4', 'a 211058721058 Date: 20 Nov 2018 | Tos o 4', 'a 211058721058 Date: 20 Nov 2018 | Tos o 4', 'Visit us at www.vtransgroup.com Customer Heipline No, 9870 140 141 IBA Code No BYV-823', '(7jThe Company 3 not COCMMON CARRIER and reserves inex mani to refuse any booking of goods witty assiarninc any i arIntacess Foe oe : .']"
177,"['| f= Chilifoar Dist, Pin: 617520, AP. TTerms-ofDelvery[', '| Buyers OrderNo.| S~C~C~d~‘CS CSté‘ir:CSS~S~S', '| Buyers OrderNo.| S~C~C~d~‘CS CSté‘ir:CSS~S~S', '| Buyers OrderNo.| S~C~C~d~‘CS CSté‘ir:CSS~S~S']"
178,"['601 é “ 74 x! , ’']"
179,"['SINNCNIEAEIZO 2 ¢ 443 _D. No. 4/977 Pansionars Colony-Land Mark Near at Nutrine Chocolate.-Kajur Palmnear to Chittoor', 'SINNCNIEAEIZO 2 ¢ 443 _D. No. 4/977 Pansionars Colony-Land Mark Near at Nutrine Chocolate.-Kajur Palmnear to Chittoor', 'iseut__1] ASBUl 1] ARPSLI | [ARL | 1] AR} | MiL [Food 7 SSD 7 PCD/ PLD]', 'iseut__1] ASBUl 1] ARPSLI | [ARL | 1] AR} | MiL [Food 7 SSD 7 PCD/ PLD]', '1828103018 | 5685577 |30.11.2018 Y (9 ¥ HAI TIRUP 71572 1206.00 73372', '1828103018 | 5685577 |30.11.2018 Y (9 ¥ HAI TIRUP 71572 1206.00 73372', '1828103018 | 5685577 |30.11.2018 Y (9 ¥ HAI TIRUP 71572 1206.00 73372', '1828103018 | 5685577 |30.11.2018 Y (9 ¥ HAI TIRUP 71572 1206.00 73372', '1828103018 | 5685577 |30.11.2018 Y (9 ¥ HAI TIRUP 71572 1206.00 73372', 'Truck No -RJO7GA124€ ENT] j SMT } teh 21 MTT ij 40 MTT } Actual WtiMT) 15.02 For CJ DARCL LOGISTICS L y/ SF NP', 'Freight voice No.:- Date:- 20.11.2018 Amount - % (REND: OS >* -', 'Actual Date of Dispatch: 30.11.2018 Proposed Date of Delivery Truck Reported at customer 06 12.2018 Date of Uniosding:- «06.12.2018 Hare} ~~. U@e Detwery | |', 'Preparation Date JS; / ) Liface Ot. 02 Deducations / Penatties Lg <> a ¥']"
180,[]
181,"['| = ¥, = ; a a: soot Wi ee aoe eg |. : 7 eS a ry fe Peed ew ay', '| = ¥, = ; a a: soot Wi ee aoe eg |. : 7 eS a ry fe Peed ew ay', '? 4° 1 oak . Cee ae — = (2: 8 §=—. Sa & Se. im', 'Ee eee: : ae : ee ae ee ae ee te ae 2 . ; Coe ; <3 : ee a Figs 1 EE tae Gee q b', 'Ee eee: : ae : ee ae ee ae ee te ae 2 . ; Coe ; <3 : ee a Figs 1 EE tae Gee q b', '- ; b eee Fe ; } ie — ee “2 2 2. BM et oh a', '« anf op =* cae ‘3 } ; Zz om) ~ eee fo ae: 3 ea ee = Eto: See ig se faeces ae er i ¢3', ""fe : fol 8 4 ae f } Vie ee e: ee. 4 ee. 2 4 ) '"", 'cE : os a, oo Ci) ee XS : a - a = : oa Pe ce Pee. Bel hors eS ie', ""a Ee ' ee ee he * ee ie a a = an kis ' * i sc F : - oe 4 | - = e = : — 4 ‘2 ys ne ey :"", 'os : i, : . pf De) tae 2 Es aes : Loe ef. pe gt rae Eee', '~ —_ » of IN ra a oe Mee eG Se 5 a oi 7 4 ed', '~ —_ » of IN ra a oe Mee eG Se 5 a oi 7 4 ed', '3 we, ages | a i 1 8 fe le ee fea eel OAS 2', '3 we, ages | a i 1 8 fe le ee fea eel OAS 2', 'Sth Ne kn eS : Pe ob a Orit ae > ~ § ge eet A a el', 'Sth Ne kn eS : Pe ob a Orit ae > ~ § ge eet A a el', 'oe : : t in * . . = 3 . : ie - 4 igen iE : i os . - =e ‘ e ae a ee ome oer:', '* — a ce * . 3 a, : at Poe te ee > . eee Se : . eek ee 5 PO ee a', '* — a ce * . 3 a, : at Poe te ee > . eee Se : . eek ee 5 PO ee a', '5 - | : 2 . ’ . RE ene : wee eee | ey eta Sci ; = & ae Be oe Be - rates. zs f% pT Ce ee ad', ""be dee i Pe se oe ' Byte ec cae é vie eS es ="", 'it oe 3 oe 2 ecten mci el ~* Se § See oo hk Shs ee', 'i ; E eee es os a Pee ‘ ae We AC: Ce eae eS eRe eos See es ee', '_ "" e ce Seta oer ae $ \' ww 9 Peo all ncaa ae aes 5; - ee eile sagt 5 :', '_ "" e ce Seta oer ae $ \' ww 9 Peo all ncaa ae aes 5; - ee eile sagt 5 :', 'ee ee ose F t he Pe fo oe ie | | ‘3 Se 2 cE Oe pee ee ae ee! oe Sees :', 'alt Pn: Em | ee ae f Soe . ae «J ’ feet ye Eye aa gS ae | .- AS hl 4', 'mot ) . H c Pinna: Greenest aa oe wig 22 2 ee i 2s 5 ~< T) eae Ee', '; : : Seon ce : eee eine a: ee | | . eee : 2 oO > eer', '; = | ; ee 246 | ia 8 . ok', '2 estes aes iB ie ait een eae eee ce cee a8 Bea es tase ea ee ee oe: Bok : aS 2a a . : te + — Seles tics aes gece cee ect nas ga ees', 'oo eee ee “8 a1 Se 3 ge ered poe ee ee ; oe ¢ be ee Re Se ee', 'OP « Ek Wh = Si. oP se fe ee |. 2) i Rone ean', 'Seana Be ees +e BEE oes pit ae ge eee: : ; wr a : . : fi ee se et ere 33', 'ee oy oes: : bce a + s. -y “ey ee < eee hag ae > 3', 'haat ae : ads Si ae as Bais i aes Ee =e ae See - if ; . = eo ee 3 : i ae es 1 began ae oe wee i = 4 . sah doc oa af ¥ tes a eS le ge. i', 'ooo ee ee ee = aoe gs =: : acd 7 Leche seoriuie oes:c gerestacic es age or ae 9 ste pn ee ee ae SEES Re a', 'ooo ee ee ee = aoe gs =: : acd 7 Leche seoriuie oes:c gerestacic es age or ae 9 ste pn ee ee ae SEES Re a', 'Epsom 5 i = epee be a ee 0 Bike es i Sage -_ Pe Se 9 bem paler naar S Al ,', 'Epsom 5 i = epee be a ee 0 Bike es i Sage -_ Pe Se 9 bem paler naar S Al ,', ""ee Oo a ' ™. = : u ee a = = 2 Ee & pee e 7} 4 ae — A + 7 ; * - : ae re x < . oe . ¢ “a s"", '2 <a & ot ies Rem cig gs Se es ne ae ag ay 3 +e . ~¢ ~ ++ > > Sen es pee es ih tae', '2 <a & ot ies Rem cig gs Se es ne ae ag ay 3 +e . ~¢ ~ ++ > > Sen es pee es ih tae', 'ee ee a ee ee es ete Sete ag a ee ca fe Poe 12 ated pe ces =~ fay oe rs 3 te eve', 'ee ee a ee ee es ete Sete ag a ee ca fe Poe 12 ated pe ces =~ fay oe rs 3 te eve', 'Oe ee ral aihies poses ia 4) ft the 2 hlUmUmCmm—m. he — 8 bw', 'ee ee eeheen a =e = eo 3 Reco eee 245 2 Ss ae eae j Be <8 eae ae', 'ee ee eeheen a =e = eo 3 Reco eee 245 2 Ss ae eae j Be <8 eae ae', '; ~ RBs os eee. bcc Belden gaa Lt ee | a see ge ec ae Bi ee pone te _ * A ait Sots aera Poca elo ene eS Pe Pe be io 7 .', 'ete = 0 CEE SA (ES 2049 ogee ice.']"
