docNo,items
318,"['S.R Control & Automations --- ORG', '2018-19 --- DATE', 'Invoice No. Dated\n --- INVOICE', 'Sri Surya Complex --- FAC', '189 --- CARDINAL', 'Delivery Note Mode/Terms of Payment\nIGSTIN/UIR N --- WORK_OF_ART', 'S7AGR FSSs207N --- ORG', '4Z\\ --- CARDINAL', '30 Days --- DATE', 'Andhra --- GPE', '37 --- CARDINAL', '9848592312 --- CARDINAL', 'ksrao.srca@gmail.com --- EMAIL', 'SBD-II --- ORG', 'Nunegundlapalii Bangarupalyam --- PERSON', 'Despatched --- PERSON', 'Destination\n --- ORG', '37AABCA9264E1ZO --- CARDINAL', 'Tr rt --- ORG', 'Andhra --- GPE', '37 --- CARDINAL', 'reese\n --- PERSON', 'Buyer --- PERSON', ""SBD-II\n' --- ORG"", 'Small Battery Division Unit --- ORG', 'Nunegundlapalli --- GPE', 'Bangarupalyam --- GPE', '37AABCA9264E1ZO --- CARDINAL', 'Andhra --- GPE', '37 --- CARDINAL', '1 --- CARDINAL', '210 --- CARDINAL', '18% --- PERCENT', '3NOS --- CARDINAL', '12,600.00 --- CARDINAL', '2 --- CARDINAL', '| 18% --- PERCENT', '2NOS| --- CARDINAL', 'cognex --- ORG', '2.5m --- MONEY', '18% --- PERCENT', '16,500.00 --- CARDINAL', 'cognex scanner | | --- PRODUCT', '210 --- CARDINAL', '85444210 18% --- PERCENT', '2NOS --- CARDINAL', '2,400.00 --- CARDINAL', 'NOS --- ORG', '4,800.00 --- CARDINAL', '5m --- QUANTITY', '42,600.00 --- CARDINAL', '3,834.00 --- CARDINAL', '3,834.00 --- CARDINAL', '50,268.00 --- CARDINAL', 'Bo OE\n --- ORG', 'Fifty Thousand Two Hundred --- PERCENT', 'HSN --- ORG', '9% --- PERCENT', '4,536.00 --- CARDINAL', '42,600.00 --- CARDINAL', '3,834.00 --- CARDINAL', '3,834.00 --- CARDINAL', 'INR Seven Thousand Six Hundred Sixty Eight --- ORG', 'PAN : --- ORG', 'Bank Details | --- ORG', 'Bank Name : HDFC --- BANKNAME', 'A/c No. : 50200009717847 --- ACCOUNTNO', 'vsp-26Ca --- CARDINAL', 'Ey\n --- ORG']"
319,"['D. iy\n\n --- PERSON', 'es, --- ORG', 'ceegee ea --- PERSON', '= --- ORG', 'an\\x p TMs --- ORG', '° --- CARDINAL', 'Ef\n\n| --- LAW', '2 --- CARDINAL']"
320,"['chee _\n --- ORG', '18-19 --- CARDINAL', 'Invelce --- ORG', '84402 --- CARDINAL', 'SS\n --- ORG', 'galla_lakshmistiraja@yahoo.co.in --- EMAIL', 'Ts --- ORG', 'INV --- ORG', 'Destination\n --- ORG', 'PRADESH --- GPE', 'INDIA --- GPE', 'OFPKGS --- ORG', 'PO Inseam --- ORG', 'Lt 4,600.00\n --- ORG', 'Lt 8,240.00\n --- ORG', '46,750.00 --- CARDINAL', '9% --- PERCENT', '9% --- PERCENT', '4,207.50 --- CARDINAL', '000 --- CARDINAL', '¥ 55,165.00 --- MONEY', 'E&OE\n --- ORG', 'Fifty Five Thousand --- DATE', '2 --- CARDINAL', 'Bank Details\n --- ORG', 'Bank Name : STATA --- BANKNAME', 'GSTIN: 37AAXFS0881J1ZE --- GST', '35164773065 --- CARDINAL', '2 --- CARDINAL', 'GSTIN:37AABCA9264E1ZO --- ORG', 'KORLAGUNTA & SBINO06 --- ORG', '49011 --- CARDINAL', 'SRIRAJA --- ORG', 'J\n --- ORG', 'Autho ech Sinha --- PERSON']"
321,"['\\\n --- ORG', '™\n --- ORG', '5 --- MONEY', 'GN --- ORG', 'Seurvevepoes 2 ef otewnsenwanswe --- ORG', 'Timor --- GPE', 'A.D. . --- PERSON', 'Es ee --- GPE', 'Bar gous de Sho --- PERSON', '3 --- CARDINAL', 'Sec --- ORG', 'Empa --- PERSON', 'Ccdetis --- PERSON', '7 --- CARDINAL', 'Xe --- PRODUCT', 'oP --- ORG', 'Aten j — - i --- PERSON', '5 --- CARDINAL', 'Liew --- PERSON', ""cae\n|\n' --- ORG""]"
322,"['TAXINVOICE --- ORG', 'Invoice No. Waisd\n --- INVOICE', 'Ph:0877-2280243 --- PHONE', 'arma cote --- ORG', ""po Supplier's --- ORG"", 'galla_lakshmisriraja@yahoo.co.in --- EMAIL', 'INV NO:549/09.11.2018 | --- ORG', 'Destination\n --- ORG', 'PRADESH --- GPE', 'INDIA --- GPE', 'Pkgs --- ORG', 'ei nen --- ORG', 'Femelle --- GPE', '50 --- CARDINAL', '207.00 --- CARDINAL', '10,350.00 --- CARDINAL', '20 --- CARDINAL', '230.00 --- CARDINAL', 'Lt 4,600.00\n --- ORG', '60 --- CARDINAL', '236.00 --- CARDINAL', '40 --- CARDINAL', '206.00 --- CARDINAL', 'Lt 8,240.00\n --- ORG', '46,750.00 --- CARDINAL', '9% --- PERCENT', '9% --- PERCENT', '4,207.50 --- MONEY', '240 --- CARDINAL', '55,165.00 --- CARDINAL', 'Bank Details\n --- ORG', 'Bank Name : STATA --- BANKNAME', 'GSTIN: 37AAXFS0881J1ZE --- GST', '35164773065 --- CARDINAL', 'GSTIN:37AABCA9264E1ZO Branch & IFS --- ORG', 'KORLAGUNTA &. --- ORG', 'SRIRAJA --- ORG', 'ENTERPRISESA349\n --- ORG', '7 --- CARDINAL', '920 --- CARDINAL', 'RON\n --- PERSON', 'TPRUP RS\n& --- ORG']"
323,"['4 --- CARDINAL', 'rae oe LIT --- PERSON', 'Fein --- PERSON', 'Heit\n --- WORK_OF_ART', 'iy PTB\n --- ORG', '5 4 --- CARDINAL', 'eth 1 im ’ --- ORG', 'oj --- ORG', '# --- CARDINAL', 'ceget --- ORG', 'Bi --- PERSON', '7 ¢ --- CARDINAL', 'AA ae xt /\n --- ORG', 'ut --- ORG', 'Sa re Se 7 --- PRODUCT']"
324,"['Kehrani --- GPE', 'Bhiwadi --- NORP', 'Distt --- ORG', 'Alwar --- PERSON', 'GSTIN : O8AAACPO655R1ZZ --- GST', 'CIN --- ORG', 'AAACPO655R\n --- ORG', 'SECTION 31 OF THE CENTRAL GOODS & SERVICE TAX ACT --- LAW', '1100091483 --- CARDINAL', 'Invoice No. : 18-19 --- INVOICE', '25 --- CARDINAL', 'Consignee --- PERSON', 'AMARA RAJA --- PERSON', 'AMARA RAJA BATTERIES LTD --- PERSON', 'MVRLA --- ORG', 'MVRLA --- ORG', 'BANGARUPALYAM NUNEGUNDLAPALLI --- PERSON', 'BANGARUPALYAM\nCHITTOOR - 5174165 --- ORG', 'Pradesh --- GPE', 'India --- GPE', 'Pradesh --- GPE', 'India --- GPE', '2 --- CARDINAL', '6 --- CARDINAL', 'Andhra --- GPE', '37 --- CARDINAL', 'Andhra --- GPE', '3 --- CARDINAL', 'GSTIN : 37AABCA9264E1ZO --- GST', 'GSTIN : 37AABCA9264E1ZO --- GST', '7801 --- CARDINAL', '504.19 --- CARDINAL', 'IGST --- ORG', '18.00 % --- PERCENT', '0.14 --- CARDINAL', 'Grand Total 916.367 --- TOTALAMOUNT', 'Only\n --- PERSON', 'Rupee --- TIME', '25/10/2018,15:10 --- INVOICEDATE', '25/10/2018 --- INVOICEDATE', '17:30 --- CARDINAL', 'BWD32R00003 --- CARDINAL', 'C.J. Darcl Logistics Ltd Policy --- ORG', '0000000007023178 --- CARDINAL', 'Road Ecectronics Ref --- ORG', '7 --- CARDINAL', '7 --- CARDINAL', '3.No --- CARDINAL', '8 days --- DATE', 'Pilot Industries Limited\n --- ORG', '24% --- PERCENT', '15 days --- DATE', '4 --- CARDINAL', '5.No --- PRODUCT']"
325,"['Additive Alloying --- PERSON', 'Rajasthan --- GPE', 'PILO --- PERSON', 'Alloy\n --- ORG', 'Invoice No. 18- --- INVOICE', '25.10.2018 --- CARDINAL', '477.488 --- CARDINAL', 'ons.ze7 --- DATE', 'Pilot Industries Ltd.\n --- ORG', '\\ eA --- PERSON', 'Sianatory --- PERSON']"
326,"['AMARA RAJA --- PERSON', 'Palli --- GPE', 'Bangarupalyam --- GPE', 'Andhra --- GPE', 'Pradeesh --- PERSON', 'India --- GPE', 'Date 31/10/2018 --- INVOICEDATE', '5456 --- CARDINAL', '00005 --- CARDINAL', 'Transporter Name DARCEL LOGISTICS\n --- ORG', 'Date 25/10/2018 --- INVOICEDATE', '2 82 --- DATE', '31/10/2018 --- INVOICEDATE', '11:19:20 AM Gross Weight --- TIME', '31/10/2018 --- INVOICEDATE', '03:55:08 --- TIME', 'Tare Weight --- PERSON', '12340 kg --- DATE', '27260 kg --- QUANTITY']"
327,"['csp ee = LTD --- ORG', 'Uy\n| Roe --- ORG', '31/ --- CARDINAL']"
328,"['5 --- CARDINAL', 'Snks\n --- ORG', '¥ --- CARDINAL', '288 --- CARDINAL', 'Bas\n --- PERSON', 'Bas\n --- PERSON', 'B56\na5 ~t & --- ORG', 'o38\n --- ORG', 'a3\n --- ORG', 'ae --- PRODUCT', 'Es\n --- ORG', '23 --- CARDINAL', '= --- ORG', '25 --- MONEY', '38 2535 --- DATE', '$2 Recs --- MONEY', '=\n --- ORG', 'os al S\n --- ORG', '3 --- CARDINAL', '2S8se --- CARDINAL', '=\n --- ORG', '3 --- CARDINAL', '55 --- CARDINAL', '24 5 --- CARDINAL', '24 --- CARDINAL', 'zi --- PERSON', '&\n --- ORG', '2 --- CARDINAL']"
329,"['Transporter\nTAX INVOICE\n --- ORG', 'RICO --- LAW', 'Kehrani --- GPE', 'Bhiwadi --- NORP', 'Distt --- ORG', 'Alwar --- PERSON', 'GSTIN : O8AAACPO655R1ZZ --- GST', 'AAACPO655R\n --- PERSON', 'SECTION 31 OF THE CENTRAL GOODS & SERVICE TAX ACT --- LAW', '1100091483 --- CARDINAL', 'Invoice No. : 18-19 --- INVOICE', '25 --- CARDINAL', 'Consignee --- PERSON', 'AMARA RAJA --- PERSON', 'AMARA RAJA BATTERIES LTD --- PERSON', 'MVRLA --- ORG', 'MVRLA --- ORG', 'BANGARUPALYAM NUNEGUNDLAPALLI --- PERSON', 'BANGARUPALYAM\nCHITTOOR - 517416 --- ORG', 'CHITTOOR - 517435 --- LAW', 'Pradesh --- GPE', 'India --- GPE', 'Pradesh --- GPE', 'India --- GPE', 'Andhra --- GPE', '37 --- CARDINAL', 'Andhra --- GPE', '37 --- CARDINAL', 'GSTIN : 37AABCA9264E1ZO --- GST', 'GSTIN : 37AABCA9264E1ZO --- GST', 'UIN --- ORG', 'BH/87 --- ORG', 'Code\n --- PRODUCT', '1 --- CARDINAL', '504.19 --- CARDINAL', 'IGST --- ORG', '18.00 % --- PERCENT', '0.14 --- CARDINAL', 'Grand Total 916,367 --- TOTALAMOUNT', 'UU\n --- ORG', 'Only\n --- PERSON', 'Rupee --- TIME', '25/10/2018 --- INVOICEDATE', '15:10 --- CARDINAL', '25/10/2018 --- INVOICEDATE', '17:30 --- CARDINAL', 'BWD32R00003 --- CARDINAL', 'C.J. Darcl Logistics Ltd Policy --- ORG', '0000000007023178 --- CARDINAL', '1118 --- CARDINAL', 'Road Ecectronics Ref --- ORG', 'Ne --- ORG', '8 days --- DATE', 'Pilot Industries Limited\n --- ORG', '24% --- PERCENT', '15 days --- DATE', 'Alwar --- PERSON']"
330,"['Invoice No. Dated\n --- INVOICE', 'ANDRA PRADESH CODE --- ORG', '37 --- CARDINAL', 'UIN --- ORG', '37AKPPREGO4LO2B --- CARDINAL', 'Andhra --- GPE', '37 --- CARDINAL', '9-Nov-2018 --- DATE', 'UIN --- ORG', '37AABCA9264E1 --- CARDINAL', 'Andhra --- GPE', 'Pradesh --- GPE', '37 --- CARDINAL', 'AMARA RAJA --- PERSON', 'BANGARUPALYAM\n --- PERSON', 'CHITTOOR 0118120394 --- LAW', 'UIN --- ORG', '37AABCA9264E1Z0 --- CARDINAL', 'Andhra --- GPE', '37 --- CARDINAL', '3810 --- CARDINAL', '1,933.00 --- DATE', '2.15X350 --- MONEY', 'SS\n --- ORG', 'Cgst --- ORG', '5 --- CARDINAL', 'Sgst --- ORG', '1,913.67 --- CARDINAL', 'XS\n --- ORG', 'Po ee ne --- PERSON', 'Eos Oe\n --- ORG', 'INR Twenty Five Thousand Ninety --- ORG', 'Four paise --- MONEY', 'HSN --- ORG', '2288 --- CARDINAL', 'sree ae\n --- ORG', 'INR Three Thousand Eight Hundred Twenty Seven --- ORG', 'Four paise --- MONEY', 'SREE DHARANIDHAR/ENTERPRISES\n --- ORG', 'CF\n --- ORG', 'kuthorised Signato --- PERSON']"
331,"['ATT --- ORG', 'Ei --- ORG', 'pe kas p90 --- ORG', 'C23\n --- ORG', 'SEC --- ORG', 'ge st eS --- ORG', '4 --- CARDINAL', '5 --- CARDINAL', '2% --- PERCENT', 'Ch --- ORG', '10 --- CARDINAL', 'Ojai * ZS 3 --- ORG', 'Vie\n --- PERSON', 'Cee --- PERSON', 'mensitse --- PERSON']"
332,"['Invoice No. Dated\n --- INVOICE', 'ANDRA PRADESH CODE --- ORG', '37 --- CARDINAL', ""Sy AKEpReeodiane Supplier's --- ORG"", 'Andhra --- GPE', '37 --- CARDINAL', '9-Nov-2018 --- DATE', 'UIN --- ORG', '37AABCA9264E1Z0 --- CARDINAL', '37 --- CARDINAL', 'APO3TDO0595\n --- ORG', 'AMARA RAJA --- PERSON', 'BANGARUPALYAM\n --- ORG', 'CHITTOOR\nGSTIN --- LAW', 'UIN --- ORG', '37AABCA9264E1Z0 --- CARDINAL', 'Andhra --- GPE', '37 --- CARDINAL', '1 --- CARDINAL', '|254 --- ORG', '1,933.00 --- MONEY', '21,263.00 --- CARDINAL', '2.15X350 --- MONEY', 'SS\n --- ORG', '1,913.67 --- CARDINAL', 'Sgst --- ORG', 'SBI --- ORG', 'aa --- ORG', 'ST| --- GPE', 'INR Three Thousand Eight Hundred Twenty Seven --- ORG', 'Four paise --- MONEY', 'SREE DHARANIDHAR ENTERPRISES\n --- ORG', '7 --- CARDINAL', 'ssi orised Signato\n --- PERSON']"
333,"['3 --- CARDINAL', 'Th --- PRODUCT', '3 --- CARDINAL', '7 --- CARDINAL', '2 --- CARDINAL', 'Cogaeeeb --- GPE', 'ltarand eee cay --- ORG', 'Si mh --- PERSON', 'EA Pt --- ORG', '7 mi % --- PERCENT', '™ --- ORG', '5 --- CARDINAL', 'Neate ohh --- FAC', 'GCS --- ORG', 'alan\n --- PERSON', 'nan E aft --- PERSON', 'Aare --- NORP', 'SE saphena BES Apna ent --- PERSON', 'Aiea EER --- PERSON', 'renee neon --- PERSON', '5 --- CARDINAL', 'KS --- GPE', 'Cah Rg LETT ALAN eld Sd --- PERSON', 'Byte ESE FER --- PERSON', 'sph Sen Naan Siew Ett --- PERSON', 'eka Wied --- PERSON', 'Oo Seba & Parmer --- ORG', 'gmeg Pe --- GPE', 'a1 Sak --- LOC', 'Ss\nee --- ORG', '2 --- CARDINAL', '¢ --- CARDINAL', '5 --- CARDINAL', 'eu --- ORG', '2 --- CARDINAL', 'SS --- ORG', 'CUM Ma --- PERSON', 'ae eum ae st | --- PERSON', 'eae eee ae Peg --- PRODUCT', 'Vi nae tm wavialhs --- PRODUCT', 'coe Ls kn --- PERSON', 'ee ee Bains\n --- ORG', 'gr saat Sih ay es oeuaren te aL aaa --- PERSON', 'AECL --- ORG', 'MIT SS\n --- ORG', 'fe = --- ORG', '2 --- CARDINAL', 'piel ae Sg --- PERSON', 'eae ee --- ORG', 'tr ar antes oe BS --- PERSON', 'atey bapa --- PERSON', 'io\n --- ORG', '4 --- CARDINAL', 'Pam 2 --- PERSON', 'Fe\n --- ORG', 'SOG EPR --- ORG', '29 --- DATE', 'f= RRR --- PERSON', '7 --- CARDINAL', 'Es. --- GPE', 'ix ia = --- ORG', '7 --- CARDINAL', '¥ --- CARDINAL', 'S - re --- PRODUCT', '° --- MONEY', '4 --- CARDINAL', '7 5 --- DATE', '2 --- CARDINAL', '4 --- CARDINAL', 'Saad Te ett --- PERSON', 'ae Fe --- ORG', '5 --- CARDINAL', 'Rt --- PERSON', '7 --- CARDINAL', 'Nita --- ORG', 'ae r --- PRODUCT', '4 --- CARDINAL', '2 --- CARDINAL', 'Tae SR --- PERSON', 'cementite aameaae --- PERSON', '5S --- CARDINAL', '5 --- CARDINAL', 'fi es iby ichafiatenism --- ORG', 'wai --- PERSON', 'Foyt ove\n --- PERSON', '1 --- CARDINAL', '¥ --- CARDINAL', 'Liesagiabs --- ORG', 'rae\n --- PERSON', '5 --- CARDINAL', 'RR --- ORG', 'nx Fy --- ORG', 'Bea --- PERSON', 'ae ry --- ORG', '¢ --- CARDINAL', 'CI Sa --- PERSON', 'MNES ak ae ea --- PERSON', 'te SE --- PRODUCT', 'Beibruah Iigia DRRSONT contr iat --- PERSON', 'Sa Fie --- PERSON', 'one --- CARDINAL', 'Se eae --- ORG', 'Saeeee oo wees --- PERSON', 'geet --- PERSON', 'Sache --- ORG', 'garg Pos Pah ae --- PERSON', 'ane eae --- PERSON', 'nhcmeaeee pet --- WORK_OF_ART', 'te\n --- ORG', '5 --- CARDINAL', 'Sey cae = --- ORG', '4 --- CARDINAL', '7 --- CARDINAL', '1 --- CARDINAL', '3 --- CARDINAL', 'oc\neae ses! --- ORG', 'EAU F f ato --- PRODUCT', 'ane SAGaued --- PERSON', '2 --- CARDINAL', '16 --- CARDINAL', 'Jed --- GPE', 'batitiosss --- ORG', '|\n --- PERSON', 'Pere ee --- PERSON', 'ard nora --- PERSON', 'ast Sk --- ORG', 'ane ners ay Sar y CANEID --- ORG', 'Piero SSE SIS --- PERSON', 'ies\n --- ORG', 'Pa te --- PERSON', 'tase --- PERSON', 'eee Se ae ee --- PERSON', 'aeteos --- ORG', 'ec --- ORG', 'mi EST --- PERSON', 'Garg tt |e --- PERSON']"
334,"['Invoice No. Dated\n --- INVOICE', 'PT/18 --- ORG', '9-Nov-2018\n --- ORG', 'UIN --- ORG', '37AAHFP1016C1ZR --- CARDINAL', '30 DAYS --- DATE', 'Andhra --- GPE', '37 --- CARDINAL', 'powertrek95@yahoo.co.in --- EMAIL', '1100092640 --- CARDINAL', 'AMND --- ORG', 'NUNEGUNDLAPALLI --- ORG', 'BANGARUPALYAM --- ORG', 'SAVANI TRANSPORTS --- ORG', 'NUNEGUNDLAPALLIBANGARUPALYAN\n --- ORG', 'A.P. INDIA Bill of --- ORG', 'Andhra --- GPE', '37 --- CARDINAL', 'Pkgs --- ORG', '1 20 --- CARDINAL', '18 % --- PERCENT', '25.129 MT --- MONEY', 'MT --- ORG', '104 --- CARDINAL', '4 --- CARDINAL', '\\o 9 --- DATE', '91% --- PERCENT', '0.23 --- CARDINAL', 'Rupees --- MONEY', 'HSN --- ORG', '42,08,680.31| --- CARDINAL', '378,781.23 --- CARDINAL', 'Indian Rupees Seven Lakh --- ORG', 'AAHFP --- ORG', 'ae LO --- WORK_OF_ART', 'POWERTREK INDUSTRIES-(18-19 --- ORG', '5 --- CARDINAL', 'Z EM Hemachancly |\n --- PERSON', 'Signatory | --- LAW']"
335,"['Fr POWERTREK INDUSTRIES --- ORG', 'PROD/10\n --- PERSON', 'AMARARAJABATTERIESLTD\n --- ORG', 'ACSCLEADALLOY --- ORG', '1100092540 --- CARDINAL', 'DT --- ORG', '01 --- CARDINAL', 'AMND --- ORG', 'INVOICE NO:PT/18-19/249 --- INVOICE', 'i.\n --- ORG', 'GREEN@REDsssss --- GPE', 'APO7TH3599 - fe --- ORG', '08.00 --- CARDINAL', '2 2 --- QUANTITY', '8 4085.00 --- CARDINAL', '5 --- CARDINAL', '42 105.00 --- CARDINAL', 'SA --- ORG', '105.00 --- CARDINAL', '4107.00 --- CARDINAL', '6 42 1093.00 --- PERCENT', '1308.00 --- CARDINAL', '1091.00 --- CARDINAL', '068.00 --- CARDINAL', '1088.00 --- CARDINAL', '990.00 --- CARDINAL', '16 42 --- CARDINAL', '17 --- CARDINAL', 'Sa\n --- PERSON', 'rane\n --- PERSON', '|\n --- LAW', '18561.00 --- CARDINAL', '252 --- CARDINAL', '6568.00 --- CARDINAL', 'Total 25129.00 --- TOTALAMOUNT', 'A | | | |\n --- WORK_OF_ART', '16 --- CARDINAL', 'Phase III --- ORG', 'Autonagar --- ORG', 'Guntur - 522 001 --- ORG', 'Andhra --- GPE', 'Pradesh --- GPE', 'India --- GPE', '19 --- CARDINAL', 'Phase IV --- ORG', 'Autonagar --- ORG', 'Guntur - 522 001 --- ORG', 'Andhra --- GPE', 'Pradesh --- GPE', 'India --- GPE', 'Se\n --- ORG', '91 --- CARDINAL', 'E-mail : powertrek95 --- EMAIL', 'yahoo.co.in --- GPE', 'powertrek.in Pe --- PERSON']"
336,"['AMARA RAJA BATTERIES --- PERSON', 'Nunegundla Palli --- PERSON', 'Bangarupalyam --- GPE', 'Andhra --- GPE', 'Pradeesh --- PERSON', 'India --- GPE', 'Date 10/11/2018 --- INVOICEDATE', '5748 --- CARDINAL', '00018 --- CARDINAL', 'POWERTREK INDUSTRIES\n --- ORG', '249 --- CARDINAL', 'Date 09/11/2018 --- INVOICEDATE', '25 --- CARDINAL', '10/11/2018 --- INVOICEDATE', '10:58:34 AM Gross Weight --- TIME', '10/11/2018 --- INVOICEDATE', '12:52:16 --- TIME', 'Tare Weight --- PERSON', '10390 --- DATE', '3 3 --- CARDINAL']"
337,"['Cg\n --- ORG', 'eS LTD\n --- ORG', '3% --- PERCENT', '4 --- CARDINAL', '4 --- CARDINAL', 'al\n --- ORG', 'eni\n --- ORG']"
338,"['AMARA RAJA BATTERIES --- PERSON', 'Nunegundla Palli --- PERSON', 'Bangarupalyam --- GPE', 'Andhra --- GPE', 'Pradeesh --- PERSON', 'India --- GPE', 'Date 10/11/2018 --- INVOICEDATE', '5748 --- CARDINAL', '00018 --- CARDINAL', 'POWERTREK INDUSTRIES\n --- ORG', '249 --- CARDINAL', 'Date 09/11/2018 --- INVOICEDATE', '25 --- CARDINAL', '10/11/2018 --- INVOICEDATE', '10:58:34 AM Gross Weight --- TIME', '10/11/2018 --- INVOICEDATE', '12:52:16 --- TIME', 'Tare Weight --- PERSON', '10390 kg --- QUANTITY']"
339,"['lg Sk Sah Lo Sn --- ORG', 'ea eng = CONSIGNMENT NOTE\n --- ORG', '809 --- CARDINAL', 'Broadway Centre --- FAC', 'Ambedkar Rd --- PERSON', '014 --- CARDINAL', '3 --- CARDINAL', '4354 --- CARDINAL', '4354 --- CARDINAL', 'E-mail:enquiry@savani.in --- EMAIL', 'consioner POCSORT SOK --- PERSON', 'Prk Kn --- EVENT', 'oie --- PERSON', 'ust --- GPE', 'a1G\n --- ORG', 'alee | ete ek --- PERSON', 'Sonsignee FHVVAKOA KOU md BAL --- PERSON', 'tte 6 --- ORG', 'Nudametive Ralkony --- PERSON', 'Divisio Uri Rstrverons | 1 --- TIME', 'Nume --- PERSON', 'Ranga np phacieyrsninarsvngcerine --- PERSON', 'Aa rT --- PERSON', '2 --- CARDINAL', 'aq 3S 9 --- ORG', 'O1TH-\nCog --- ORG', 'CO AA --- ORG', 'TOS Certificate --- ORG', 'Al ONY --- ORG', 'Arte --- GPE', 'AABUS --- ORG', '4 --- CARDINAL', 'ACS C. loy _ Service Tax Reg --- ORG', '4 --- CARDINAL', '2 --- CARDINAL', '° --- CARDINAL', 'Mark 4 --- ORG', 'Vocumen --- PERSON', '7 days --- DATE', '492 £ oe --- MONEY', 'Savani Transports Pvt Limited ICC --- ORG', 'tiprel\n --- ORG', 'filledinthis | --- ORG', 'Service Tax &\n --- ORG', 'Te oe --- PERSON', '20 --- CARDINAL', '3 --- CARDINAL', 'AU\n --- ORG', 'SAVANI TRANSPORTS PVT --- ORG', 'ToPay| p and --- PERSON', '3 --- CARDINAL']"
340,"['Invoice No. Dated\n --- INVOICE', 'PT/18 --- ORG', '9-Nov-2018\n --- ORG', 'UIN --- ORG', '37AAHFP1016C1ZR --- CARDINAL', '30 DAYS --- DATE', 'Andhra --- GPE', '37 --- CARDINAL', 'powertrek95@yahoo.co.in --- EMAIL', '1100092540 --- CARDINAL', 'AMND --- ORG', 'L.R.NO.322880 DT.09- --- ORG', 'gy Destination --- ORG', 'NUNEGUNDLAPALLI --- ORG', 'BANGARUPALYAM --- PERSON', 'SAVANI TRANSPORTS --- ORG', 'NUNEGUNDLAPALLI --- ORG', 'BANGARUPALY --- ORG', 'A.P. INDIA Bill of --- ORG', '3599 --- CARDINAL', 'UIN --- ORG', '37AABCA9264E1ZO --- CARDINAL', 'Andhra --- GPE', '37 --- CARDINAL', 'Pkgs --- ORG', '1 23 --- CARDINAL', '18 % --- PERCENT', '25.129 --- CARDINAL', '104-003-00004 --- CARDINAL', '461.54 --- CARDINAL', '0.23 --- CARDINAL', '2629 --- CARDINAL', 'R89,66,243.00\nAmount Chargeable --- MONEY', 'Indian --- NORP', 'Rupees Seven Lakh --- MONEY', 'Six paise --- MONEY', 'AAHFP --- ORG', 'NO\nDeclaration --- LAW', 'POWERTREK --- ORG', '\\ % --- PERCENT', '3 --- CARDINAL']"
341,"['Certified Company --- ORG', 'Sreenidhi Raja Packing Solutions --- ORG', 'IDA --- ORG', 'Gajulmandyam --- PERSON', 'Chittor --- PERSON', 'srinidhiraja2006@gmail.com --- EMAIL', 'Nil\n --- ORG', 'Code - 37 --- PRODUCT', 'CIN --- ORG', '4 --- CARDINAL', 'Invoice No. Dated\n --- INVOICE', 'Estat --- ORG', 'Bk --- ORG', 'SRPSPL-ARG/0625__|8-Dec-2018\n --- ORG', 'UIN --- ORG', '37AAPCS8924D12X --- CARDINAL', 'Andhra --- GPE', '37 --- CARDINAL', 'sreenidhiraja.pspl@gmail.com --- EMAIL', 'Suppli@@r --- ORG', '625 --- CARDINAL', '4100094890 --- CARDINAL', '84577 --- DATE', '76733 --- CARDINAL', '75821 --- DATE', '7B688 | ZA --- PERSON', 'Huy Aa 1.04 Se] --- PERSON', 'Andhra --- GPE', '37 --- CARDINAL', 'Tanke --- ORG', 'HSN --- ORG', 'Pkgs --- ORG', '897 --- CARDINAL', 'nos| --- ORG', 'nos 29,460.00 --- ORG', '2 130 --- DATE', '897 --- CARDINAL', '2,600 --- CARDINAL', 'nos 29.15| nos --- ORG', '75,790.00 --- CARDINAL', '3 100 --- CARDINAL', '36.91 --- CARDINAL', '73,820.00 --- CARDINAL', '897 --- CARDINAL', '280 --- CARDINAL', '8,162.00 --- CARDINAL', '5 --- CARDINAL', '25 150 --- CARDINAL', '49.88 --- CARDINAL', '24,940.00 --- CARDINAL', 'SGST --- ORG', 'aN x\n| ao --- LAW', 'Ce SN\n --- ORG', 'nl\n --- PRODUCT', '8,380 --- CARDINAL', 'nos| --- ORG', '= E.& O.E\n| --- ORG', 'Sixty Four paise --- MONEY', '° --- CARDINAL', 'Central Tax --- ORG', 'INR Twenty Five Thousand --- ORG', 'Sixty Four paise --- MONEY', 'Sreenidhi Raja Packing Solutions Pvt Ltd --- ORG', 'Cee Signatory | --- PERSON', '24 hours --- TIME', '24% --- PERCENT']"
342,"['1 --- CARDINAL', 'CSIEN --- ORG', '|\n --- LAW', 'aL Sec --- PERSON', 'C Oe & fe --- ORG', 'GN --- ORG', 'AIOE --- ORG', 'ZANGARUPALEN --- ORG']"
